PROG.ID,ATHLETE.ID,ATHLETE.FIRST,ATHLETE.LAST,YOB,NATIONALITY,START.NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL.TIME,PROGRAM
655047,96742,Alex,Yee,1998,GBR,56,00:20:37,00:00:50,00:51:57,00:00:22,00:29:47,1,01:43:33,Elite Men
655047,104034,Hayden,Wilde,1997,NZL,21,00:21:13,00:00:50,00:51:20,00:00:27,00:29:49,2,01:43:39,Elite Men
655047,63162,Léo,Bergere,1996,FRA,27,00:20:37,00:00:51,00:51:55,00:00:25,00:29:55,3,01:43:43,Elite Men
655047,30249,Pierre,Le Corre,1990,FRA,29,00:20:20,00:00:51,00:52:14,00:00:25,00:30:01,4,01:43:51,Elite Men
655047,86042,Vasco,Vilaca,1999,POR,48,00:21:03,00:00:52,00:51:30,00:00:27,00:30:04,5,01:43:56,Elite Men
655047,98121,Ricardo,Batista,2000,POR,47,00:21:10,00:00:46,00:51:29,00:00:27,00:30:06,6,01:43:58,Elite Men
655047,80795,Matthew,Hauser,1998,AUS,45,00:20:14,00:00:49,00:52:26,00:00:24,00:30:24,7,01:44:17,Elite Men
655047,74419,Alberto,Gonzalez Garcia,1998,ESP,15,00:20:23,00:00:46,00:52:15,00:00:22,00:30:36,8,01:44:22,Elite Men
655047,49411,Tyler,Mislawchuk,1994,CAN,49,00:20:49,00:00:51,00:51:45,00:00:25,00:30:35,9,01:44:25,Elite Men
655047,105480,Miguel,Hidalgo,2000,BRA,25,00:20:57,00:00:53,00:51:36,00:00:25,00:30:36,10,01:44:27,Elite Men
655047,94446,Csongor,Lehmann,1999,HUN,53,00:21:19,00:00:48,00:51:16,00:00:21,00:30:43,11,01:44:27,Elite Men
655047,41322,Kristian,Blummenfelt,1994,NOR,43,00:21:00,00:00:53,00:51:29,00:00:26,00:30:39,12,01:44:27,Elite Men
655047,79706,Charles,Paquet,1997,CAN,50,00:21:16,00:00:53,00:51:16,00:00:26,00:30:46,13,01:44:37,Elite Men
655047,71738,Gianluca,Pozzatti,1993,ITA,3,00:20:31,00:00:51,00:52:01,00:00:27,00:30:51,14,01:44:41,Elite Men
655047,39264,Kenji,Nener,1993,JPN,18,00:20:36,00:00:50,00:51:58,00:00:25,00:31:13,15,01:45:02,Elite Men
655047,50700,Bence,Bicsák,1995,HUN,52,00:20:55,00:00:54,00:51:35,00:00:29,00:31:21,16,01:45:14,Elite Men
655047,96040,Vetle Bergsvik,Thorn,1999,NOR,44,00:20:30,00:00:50,00:52:02,00:00:25,00:31:34,17,01:45:21,Elite Men
655047,106885,Tim,Hellwig,1999,GER,36,00:20:34,00:00:47,00:52:03,00:00:26,00:31:39,18,01:45:29,Elite Men
655047,103632,Dylan,McCullough,2001,NZL,20,00:20:36,00:00:51,00:51:58,00:00:26,00:31:44,19,01:45:35,Elite Men
655047,30433,Henri,Schoeman,1991,RSA,33,00:20:11,00:00:51,00:52:24,00:00:25,00:32:02,20,01:45:53,Elite Men
655047,70410,Lasse,Lührs,1996,GER,37,00:21:00,00:00:52,00:51:34,00:00:27,00:32:03,21,01:45:56,Elite Men
655047,40311,Marten,Van Riel,1992,BEL,12,00:20:34,00:00:56,00:51:53,00:00:26,00:32:22,22,01:46:11,Elite Men
655047,21622,Alois,Knabl,1992,AUT,42,00:20:33,00:00:54,00:51:57,00:00:26,00:32:33,23,01:46:23,Elite Men
655047,67535,Jonas,Schomburg,1994,GER,38,00:20:32,00:00:51,00:52:00,00:00:22,00:32:41,24,01:46:26,Elite Men
655047,103943,Jamie,Riddle,2000,RSA,32,00:20:29,00:00:55,00:52:02,00:00:33,00:33:16,25,01:47:15,Elite Men
655047,135049,Mitch,Kolkman,2002,NED,6,00:20:39,00:00:46,00:51:58,00:00:27,00:33:31,26,01:47:21,Elite Men
655047,49390,Dorian,Coninx,1994,FRA,28,00:20:18,00:00:50,00:52:17,00:00:23,00:33:49,27,01:47:37,Elite Men
655047,56027,Diego,Moya,1998,CHI,34,00:21:05,00:00:51,00:51:31,00:00:26,00:33:54,28,01:47:47,Elite Men
655047,76425,Seth,Rider,1997,USA,31,00:20:30,00:00:53,00:52:00,00:00:27,00:34:03,29,01:47:53,Elite Men
